,task_source,task_target,method,mae,r2,random_state
4,rest,passive,align_procrustes_paired,8.261275801858853,0.664785527561489,35773
5,rest,passive,dummy,15.764508580343213,0.0,35773
0,rest,passive,no_alignment,21.730351908186694,-0.8419221994507418,67435
1,rest,passive,align_z_score,9.826670510521677,0.564534545196409,67435
2,rest,passive,align_recenter,9.99698777552095,0.5318141609851712,67435
3,rest,passive,align_recenter_rescale,10.166415747699485,0.537205853029974,67435
4,rest,passive,align_procrustes_paired,8.280334523818532,0.6643163131783978,67435
5,rest,passive,dummy,15.894399375975041,0.0,67435
0,rest,passive,no_alignment,17.358808524181207,-0.16895140712926704,56886
1,rest,passive,align_z_score,10.178880168889114,0.5300358043065097,56886
2,rest,passive,align_recenter,8.755160941253001,0.6265461336695561,56886
3,rest,passive,align_recenter_rescale,10.15046601895952,0.5401515154367716,56886
4,rest,passive,align_procrustes_paired,8.2837744911169,0.6502099992633268,56886
5,rest,passive,dummy,15.916599063962558,0.0,56886
0,rest,passive,no_alignment,22.017187631529367,-0.8110016010701908,66803
1,rest,passive,align_z_score,11.891836832466668,0.3929141797486283,66803
2,rest,passive,align_recenter,10.832234627479577,0.4560544651553061,66803
3,rest,passive,align_recenter_rescale,9.750523783632552,0.5550451018385557,66803
4,rest,passive,align_procrustes_paired,7.630865032645084,0.6423128263202256,66803
5,rest,passive,dummy,15.919407176287052,0.0,66803
0,rest,passive,no_alignment,22.075011777596842,-0.9150495057280712,31551
1,rest,passive,align_z_score,12.456647153540148,0.29292279033917634,31551
2,rest,passive,align_recenter,9.236743522261584,0.6111409809079438,31551
3,rest,passive,align_recenter_rescale,10.45176153588189,0.4782209417391452,31551
4,rest,passive,align_procrustes_paired,7.387748575660375,0.7383244705318179,31551
5,rest,passive,dummy,15.753525741029641,0.0,31551
0,rest,passive,no_alignment,23.60411297182124,-1.2872071029515202,11394
1,rest,passive,align_z_score,11.360662807986728,0.40404493179787804,11394
2,rest,passive,align_recenter,10.7775723007221,0.4710152256498781,11394
3,rest,passive,align_recenter_rescale,10.35411799699685,0.5174052554120969,11394
4,rest,passive,align_procrustes_paired,8.028127635855038,0.6996977971536492,11394
5,rest,passive,dummy,15.794087363494537,0.0,11394
0,rest,passive,no_alignment,15.147227928755134,0.032036606576456905,69092
1,rest,passive,align_z_score,10.003735318650588,0.549939762098291,69092
2,rest,passive,align_recenter,10.910280354541674,0.43992206969663405,69092
3,rest,passive,align_recenter_rescale,9.7951337110959,0.530769796484825,69092
4,rest,passive,align_procrustes_paired,8.660541888909474,0.5752778122271505,69092
5,rest,passive,dummy,15.856833073322932,0.0,69092
0,rest,passive,no_alignment,15.247040890133672,-0.0007188841714604877,3890
1,rest,passive,align_z_score,11.216248553200822,0.40475710316837976,3890
2,rest,passive,align_recenter,10.621775489245827,0.46466090762998646,3890
3,rest,passive,align_recenter_rescale,9.88822581428847,0.5360822364335998,3890
4,rest,passive,align_procrustes_paired,7.420569537092107,0.7344736409499414,3890
5,rest,passive,dummy,15.767113884555384,0.0,3890
0,rest,passive,no_alignment,23.382247284888805,-1.1277053918449718,41606
1,rest,passive,align_z_score,11.024782894254786,0.4184530430175145,41606
2,rest,passive,align_recenter,11.279579218573396,0.3946200360971389,41606
3,rest,passive,align_recenter_rescale,11.080602571283062,0.4482757320742834,41606
4,rest,passive,align_procrustes_paired,9.743576642866854,0.4292029689680884,41606
5,rest,passive,dummy,15.791263650546023,0.0,41606
0,rest,passive,no_alignment,17.05817939626767,-0.18669470588962778,96276
1,rest,passive,align_z_score,9.878608648932095,0.5273904095315366,96276
2,rest,passive,align_recenter,10.329093961797238,0.49849512973003895,96276
3,rest,passive,align_recenter_rescale,10.50927023015672,0.5157747760110114,96276
4,rest,passive,align_procrustes_paired,7.679878779070736,0.7180023461478369,96276
5,rest,passive,dummy,15.955195007800313,0.0,96276
0,rest,passive,no_alignment,16.44458856127969,-0.10450136676173516,80038
1,rest,passive,align_z_score,9.934398142453071,0.5558111965168857,80038
2,rest,passive,align_recenter,9.85346480861164,0.5485353650619571,80038
3,rest,passive,align_recenter_rescale,10.222915544080196,0.5052172407331277,80038
4,rest,passive,align_procrustes_paired,8.617848254972827,0.6100233694502208,80038
5,rest,passive,dummy,15.870811232449299,0.0,80038
0,rest,passive,no_alignment,15.653009402641311,-0.0029261728121048325,87313
1,rest,passive,align_z_score,10.32473921780636,0.5022192319696234,87313
2,rest,passive,align_recenter,10.170105516313129,0.5045765743388151,87313
3,rest,passive,align_recenter_rescale,11.030964043831068,0.4388541787538812,87313
4,rest,passive,align_procrustes_paired,8.025947997815136,0.6914302804516692,87313
5,rest,passive,dummy,15.849812792511699,0.0,87313
0,rest,passive,no_alignment,13.163520661306427,0.2537258742260181,10627
1,rest,passive,align_z_score,11.816306655633776,0.3487302748282247,10627
2,rest,passive,align_recenter,9.389266889118304,0.5864936879207763,10627
3,rest,passive,align_recenter_rescale,10.602269226409264,0.4867264639741897,10627
4,rest,passive,align_procrustes_paired,7.941069551600957,0.6986726933816658,10627
5,rest,passive,dummy,15.850514820592824,0.0,10627
0,rest,passive,no_alignment,15.604102316971323,-0.02736700869907982,8792
1,rest,passive,align_z_score,10.37841921873155,0.5287357944496718,8792
2,rest,passive,align_recenter,10.453287649805485,0.5019057423255853,8792
3,rest,passive,align_recenter_rescale,10.43740165136424,0.4875547623324882,8792
4,rest,passive,align_procrustes_paired,8.162421024272302,0.5713159986922263,8792
5,rest,passive,dummy,15.762074882995316,0.0,8792
0,rest,passive,no_alignment,15.377405004514706,0.017057203019333,73969
1,rest,passive,align_z_score,10.291605026597349,0.48597276231868813,73969
2,rest,passive,align_recenter,10.037128509861656,0.49209483776428353,73969
3,rest,passive,align_recenter_rescale,10.817191412069944,0.4019803736708354,73969
4,rest,passive,align_procrustes_paired,9.134021591624213,0.5935187639465023,73969
5,rest,passive,dummy,15.66631825273011,0.0,73969
0,rest,passive,no_alignment,17.817708791700646,-0.31491539722684037,43001
1,rest,passive,align_z_score,9.826551054601268,0.5586959455953121,43001
2,rest,passive,align_recenter,10.746748694797821,0.46394086804481194,43001
3,rest,passive,align_recenter_rescale,9.650661553425476,0.5940329561890274,43001
4,rest,passive,align_procrustes_paired,6.719568564663343,0.7787491871522287,43001
5,rest,passive,dummy,15.766817472698905,0.0,43001
0,rest,passive,no_alignment,17.29483290054637,-0.22123405109107863,76552
1,rest,passive,align_z_score,9.798719188260973,0.5560957258368517,76552
2,rest,passive,align_recenter,10.016568508399098,0.5295708323940997,76552
3,rest,passive,align_recenter_rescale,9.741730410561996,0.5472953001847354,76552
4,rest,passive,align_procrustes_paired,7.492894945851714,0.7343385054191625,76552
5,rest,passive,dummy,15.814789391575664,0.0,76552
0,rest,passive,no_alignment,22.416602676650797,-0.9019551438035247,23897
1,rest,passive,align_z_score,10.640146631445225,0.5227411022099309,23897
2,rest,passive,align_recenter,10.043292092246684,0.5385416999172825,23897
3,rest,passive,align_recenter_rescale,9.65540709089146,0.556758305400137,23897
4,rest,passive,align_procrustes_paired,8.024265968680535,0.7106089079448867,23897
5,rest,passive,dummy,16.01622464898596,0.0,23897
0,rest,passive,no_alignment,12.790501954684201,0.29801519601847715,68148
1,rest,passive,align_z_score,11.06227183469727,0.44366551883238436,68148
2,rest,passive,align_recenter,11.146546327829313,0.44151583666092076,68148
3,rest,passive,align_recenter_rescale,9.938111419923533,0.5497424253681698,68148
4,rest,passive,align_procrustes_paired,7.679810692639575,0.712496274960246,68148
5,rest,passive,dummy,15.857301092043683,0.0,68148
0,rest,passive,no_alignment,20.865821987929525,-0.6441249004909555,23483
