,task_source,task_target,method,mae,r2,random_state
0,rest,passive,no_alignment,8.75501137320861,0.6632780567034022,3890
1,rest,passive,align_z_score,8.087580704565292,0.7155895583378671,3890
2,rest,passive,align_recenter,7.434118469573865,0.7598911223261189,3890
3,rest,passive,align_recenter_rescale,7.1487049031301355,0.7778412461790308,3890
4,rest,passive,align_procrustes_paired,4.771604795480101,0.8927024721449085,3890
5,rest,passive,dummy,15.767113884555384,0.0,3890
0,rest,passive,no_alignment,7.997343467457683,0.7100564624644359,41606
1,rest,passive,align_z_score,9.315469501857102,0.6001852308942388,41606
2,rest,passive,align_recenter,7.998939641790953,0.7091527060469631,41606
3,rest,passive,align_recenter_rescale,7.869900310386809,0.7214445172287354,41606
4,rest,passive,align_procrustes_paired,6.120285204856625,0.6715674015892741,41606
5,rest,passive,dummy,15.791263650546023,0.0,41606
0,rest,passive,no_alignment,8.229805063042177,0.7021197566828719,96276
1,rest,passive,align_z_score,7.966319656849821,0.7304199225162067,96276
2,rest,passive,align_recenter,7.319797327359787,0.7666612557530152,96276
3,rest,passive,align_recenter_rescale,7.242625607705269,0.7708179739571985,96276
4,rest,passive,align_procrustes_paired,5.259301984264226,0.8315543137940631,96276
5,rest,passive,dummy,15.955195007800313,0.0,96276
0,rest,passive,no_alignment,8.479646981980643,0.6912036312580676,80038
1,rest,passive,align_z_score,7.709890321873235,0.7302931916547342,80038
2,rest,passive,align_recenter,7.323758337805941,0.7579575390127146,80038
3,rest,passive,align_recenter_rescale,7.246846846489257,0.7658808001716149,80038
4,rest,passive,align_procrustes_paired,5.786957531052085,0.7092304174195658,80038
5,rest,passive,dummy,15.870811232449299,0.0,80038
0,rest,passive,no_alignment,8.066024045961907,0.7131918145331464,87313
1,rest,passive,align_z_score,7.369414412278713,0.7510962727130293,87313
2,rest,passive,align_recenter,7.170699727943586,0.7719596586739996,87313
3,rest,passive,align_recenter_rescale,7.018005996011632,0.7807085501080342,87313
4,rest,passive,align_procrustes_paired,4.490543538475787,0.9017309453002826,87313
5,rest,passive,dummy,15.849812792511699,0.0,87313
0,rest,passive,no_alignment,8.043861187651217,0.7170757017475602,10627
1,rest,passive,align_z_score,8.243287374020648,0.696845941744259,10627
2,rest,passive,align_recenter,7.392969746961525,0.7558941612551615,10627
3,rest,passive,align_recenter_rescale,7.263268452220945,0.7677073251281262,10627
4,rest,passive,align_procrustes_paired,4.933625343585453,0.8833519094550679,10627
5,rest,passive,dummy,15.850514820592824,0.0,10627
0,rest,passive,no_alignment,9.066124548569729,0.6365515636215584,8792
1,rest,passive,align_z_score,7.891511156061138,0.7222893814001912,8792
2,rest,passive,align_recenter,7.124132167299821,0.7741018959709054,8792
3,rest,passive,align_recenter_rescale,7.198578046109775,0.7713326843287227,8792
4,rest,passive,align_procrustes_paired,5.294650849635505,0.7664973902620974,8792
5,rest,passive,dummy,15.762074882995316,0.0,8792
0,rest,passive,no_alignment,8.425962779112952,0.6857739952108773,73969
1,rest,passive,align_z_score,8.357259705074943,0.6764046663136408,73969
2,rest,passive,align_recenter,7.7870578414538505,0.7212776163230815,73969
3,rest,passive,align_recenter_rescale,7.457844014949058,0.7403019276717502,73969
4,rest,passive,align_procrustes_paired,5.189224838749524,0.8695714686258349,73969
5,rest,passive,dummy,15.66631825273011,0.0,73969
0,rest,passive,no_alignment,8.49860403475768,0.6872513448372495,43001
1,rest,passive,align_z_score,7.967402863775869,0.7183530002421276,43001
2,rest,passive,align_recenter,7.506858907410419,0.7525586150480186,43001
