,scenario,parameter,method,mae,r2,random_state
20,Recenter,1.0,dummy,1.0,0.0,5734
21,Recenter,1.5,no_alignment,0.7724276344684612,0.4510311013153643,5734
22,Recenter,1.5,align_z_score,0.4954719506636128,0.7373314565748519,5734
23,Recenter,1.5,align_recenter,0.03887243561882832,0.9983654841071256,5734
24,Recenter,1.5,align_recenter_rescale,0.03887243561884857,0.9983654841071243,5734
25,Recenter,1.5,align_procrustes_paired,0.0003338800825249093,0.9999998858320307,5734
26,Recenter,1.5,align_procrustes,0.0033222591356213394,0.9999889625942316,5734
27,Recenter,1.5,dummy,1.0,0.0,5734
28,Recenter,2.0,no_alignment,0.8877915135547221,0.2686976940449277,5734
29,Recenter,2.0,align_z_score,0.8316695642488369,0.3338010152503865,5734
30,Recenter,2.0,align_recenter,0.05367817746234198,0.9968469293796335,5734
31,Recenter,2.0,align_recenter_rescale,0.05367817746236409,0.9968469293796314,5734
32,Recenter,2.0,align_procrustes_paired,0.0003338800825189494,0.9999998858320307,5734
33,Recenter,2.0,align_procrustes,0.0033222591355161406,0.9999889625942316,5734
34,Recenter,2.0,dummy,1.0,0.0,5734
0,Recenter,0.0,no_alignment,0.0003403420496390546,0.9999998845832501,6265
1,Recenter,0.0,align_z_score,0.10242443274676716,0.9893743086489345,6265
2,Recenter,0.0,align_recenter,0.0003403420496396669,0.9999998845832501,6265
3,Recenter,0.0,align_recenter_rescale,0.00034034204963941887,0.9999998845832501,6265
4,Recenter,0.0,align_procrustes_paired,0.00034034204963918934,0.9999998845832501,6265
5,Recenter,0.0,align_procrustes,0.003327315237779553,0.9999889625942319,6265
6,Recenter,0.0,dummy,1.0,0.0,6265
7,Recenter,0.5,no_alignment,0.14177818475160034,0.9792190448925155,6265
8,Recenter,0.5,align_z_score,1.0372937080513265,0.08590355276465023,6265
9,Recenter,0.5,align_recenter,0.01053031955642611,0.9998859807892159,6265
10,Recenter,0.5,align_recenter_rescale,0.010530319556424878,0.9998859807892159,6265
11,Recenter,0.5,align_procrustes_paired,0.0003403420496326357,0.9999998845832501,6265
12,Recenter,0.5,align_procrustes,0.0033273152377870734,0.9999889625942319,6265
13,Recenter,0.5,dummy,1.0,0.0,6265
14,Recenter,1.0,no_alignment,0.2868623241656104,0.9187357206643416,6265
15,Recenter,1.0,align_z_score,3.2994911181226496,-6.42499528689607,6265
16,Recenter,1.0,align_recenter,0.02191613512683385,0.9995162947001857,6265
17,Recenter,1.0,align_recenter_rescale,0.02191613512682117,0.9995162947001862,6265
18,Recenter,1.0,align_procrustes_paired,0.0003403420496250378,0.9999998845832501,6265
19,Recenter,1.0,align_procrustes,0.0033273152377821407,0.9999889625942319,6265
20,Recenter,1.0,dummy,1.0,0.0,6265
21,Recenter,1.5,no_alignment,0.3689970966383071,0.8659920756173309,6265
22,Recenter,1.5,align_z_score,5.567061834452923,-19.36108355912197,6265
23,Recenter,1.5,align_recenter,0.03482244576209022,0.9987914003324302,6265
24,Recenter,1.5,align_recenter_rescale,0.03482244576206633,0.9987914003324321,6265
25,Recenter,1.5,align_procrustes_paired,0.000340342049616819,0.9999998845832501,6265
26,Recenter,1.5,align_procrustes,0.0033273152377874832,0.9999889625942319,6265
27,Recenter,1.5,dummy,1.0,0.0,6265
28,Recenter,2.0,no_alignment,0.42364800500101796,0.8209703031020756,6265
29,Recenter,2.0,align_z_score,7.724243123910884,-37.71515987925194,6265
30,Recenter,2.0,align_recenter,0.04876077199081587,0.9975915626543419,6265
31,Recenter,2.0,align_recenter_rescale,0.048760771990776657,0.9975915626543462,6265
32,Recenter,2.0,align_procrustes_paired,0.00034034204960092107,0.9999998845832501,6265
33,Recenter,2.0,align_procrustes,0.003327315237785204,0.9999889625942319,6265
34,Recenter,2.0,dummy,1.0,0.0,6265
0,Recenter,0.0,no_alignment,0.0003571192896844702,0.9999998717404165,466
1,Recenter,0.0,align_z_score,0.053634595105183314,0.9969975882125517,466
2,Recenter,0.0,align_recenter,0.00035711928968176207,0.9999998717404165,466
3,Recenter,0.0,align_recenter_rescale,0.0003571192896780773,0.9999998717404165,466
4,Recenter,0.0,align_procrustes_paired,0.00035711928967840814,0.9999998717404165,466
5,Recenter,0.0,align_procrustes,0.003323584510454107,0.9999889625942319,466
6,Recenter,0.0,dummy,1.0,0.0,466
7,Recenter,0.5,no_alignment,0.24171518659901753,0.9417778898881514,466
8,Recenter,0.5,align_z_score,0.5726281373233418,0.7395825271247075,466
9,Recenter,0.5,align_recenter,0.01167421039662856,0.9998620001619763,466
10,Recenter,0.5,align_recenter_rescale,0.011674210396631256,0.9998620001619762,466
11,Recenter,0.5,align_procrustes_paired,0.00035711928964446356,0.9999998717404165,466
12,Recenter,0.5,align_procrustes,0.0033235845104580223,0.9999889625942319,466
13,Recenter,0.5,dummy,1.0,0.0,466
14,Recenter,1.0,no_alignment,0.42003802858690875,0.8190979597373504,466
15,Recenter,1.0,align_z_score,1.3645620031822725,-0.34687786104169627,466
16,Recenter,1.0,align_recenter,0.025076186613175604,0.9993413296576166,466
17,Recenter,1.0,align_recenter_rescale,0.02507618661318325,0.9993413296576159,466
18,Recenter,1.0,align_procrustes_paired,0.0003571192896074741,0.9999998717404165,466
19,Recenter,1.0,align_procrustes,0.0033235845104540225,0.9999889625942319,466
20,Recenter,1.0,dummy,1.0,0.0,466
21,Recenter,1.5,no_alignment,0.5567078089695413,0.6831233686906957,466
22,Recenter,1.5,align_z_score,2.1229745759882617,-2.1886118591754276,466
23,Recenter,1.5,align_recenter,0.040014711752621,0.9982574970579104,466
24,Recenter,1.5,align_recenter_rescale,0.04001471175264117,0.9982574970579084,466
25,Recenter,1.5,align_procrustes_paired,0.0003571192895671416,0.9999998717404166,466
26,Recenter,1.5,align_procrustes,0.0033235845104663177,0.9999889625942319,466
27,Recenter,1.5,dummy,1.0,0.0,466
28,Recenter,2.0,no_alignment,0.6817921645804145,0.5323609825167039,466
29,Recenter,2.0,align_z_score,2.8442383660159445,-4.656913012941656,466
30,Recenter,2.0,align_recenter,0.0560395070328783,0.9965051441906625,466
31,Recenter,2.0,align_recenter_rescale,0.05603950703291844,0.9965051441906576,466
32,Recenter,2.0,align_procrustes_paired,0.00035711928954997154,0.9999998717404166,466
33,Recenter,2.0,align_procrustes,0.00332358451046395,0.9999889625942319,466
34,Recenter,2.0,dummy,1.0,0.0,466
0,Recenter,0.0,no_alignment,0.00033787700139321247,0.99999988935492,4426
1,Recenter,0.0,align_z_score,0.04071671791148944,0.9983194673575598,4426
2,Recenter,0.0,align_recenter,0.00033787700139616236,0.99999988935492,4426
3,Recenter,0.0,align_recenter_rescale,0.00033787700139556454,0.99999988935492,4426
4,Recenter,0.0,align_procrustes_paired,0.00033787700139814217,0.99999988935492,4426
5,Recenter,0.0,align_procrustes,0.003322259136617389,0.9999889625942319,4426
6,Recenter,0.0,dummy,1.0,0.0,4426
7,Recenter,0.5,no_alignment,0.3327078169618897,0.8852902959427339,4426
8,Recenter,0.5,align_z_score,0.41460007884488265,0.8414952530810655,4426
9,Recenter,0.5,align_recenter,0.008098679135681144,0.9999384406713998,4426
10,Recenter,0.5,align_recenter_rescale,0.008098679135674058,0.9999384406713998,4426
11,Recenter,0.5,align_procrustes_paired,0.00033787700143205753,0.99999988935492,4426
12,Recenter,0.5,align_procrustes,0.0033222591366476,0.9999889625942319,4426
13,Recenter,0.5,dummy,1.0,0.0,4426
14,Recenter,1.0,no_alignment,0.4332283182466255,0.8024420438586304,4426
15,Recenter,1.0,align_z_score,0.4691571655632811,0.7810768469229101,4426
16,Recenter,1.0,align_recenter,0.019582206695560468,0.9996314644802959,4426
17,Recenter,1.0,align_recenter_rescale,0.019582206695560055,0.9996314644802958,4426
18,Recenter,1.0,align_procrustes_paired,0.00033787700149791474,0.99999988935492,4426
19,Recenter,1.0,align_procrustes,0.003322259136637683,0.9999889625942319,4426
20,Recenter,1.0,dummy,1.0,0.0,4426
21,Recenter,1.5,no_alignment,0.5779932548930724,0.6462266313075078,4426
22,Recenter,1.5,align_z_score,0.5035552114272532,0.7411404560656044,4426
23,Recenter,1.5,align_recenter,0.03441090412998538,0.998837334528946,4426
24,Recenter,1.5,align_recenter_rescale,0.03441090412998705,0.9988373345289455,4426
25,Recenter,1.5,align_procrustes_paired,0.0003378770015192493,0.99999988935492,4426
26,Recenter,1.5,align_procrustes,0.0033222591366677055,0.9999889625942319,4426
27,Recenter,1.5,dummy,1.0,0.0,4426
28,Recenter,2.0,no_alignment,0.7005859213342288,0.4840435948368528,4426
29,Recenter,2.0,align_z_score,0.584608687218365,0.6541524039788462,4426
30,Recenter,2.0,align_recenter,0.05194210272068357,0.9973248088643076,4426
31,Recenter,2.0,align_recenter_rescale,0.051942102720683996,0.9973248088643075,4426
32,Recenter,2.0,align_procrustes_paired,0.0003378770015436935,0.99999988935492,4426
33,Recenter,2.0,align_procrustes,0.003322259136661934,0.9999889625942319,4426
34,Recenter,2.0,dummy,1.0,0.0,4426
0,Recenter,0.0,no_alignment,0.0003318385412724569,0.999999892388363,5578
1,Recenter,0.0,align_z_score,0.04995429856031586,0.9975593146212527,5578
2,Recenter,0.0,align_recenter,0.00033183854127203575,0.999999892388363,5578
3,Recenter,0.0,align_recenter_rescale,0.00033183854127127275,0.999999892388363,5578
4,Recenter,0.0,align_procrustes_paired,0.00033183854127091686,0.999999892388363,5578
5,Recenter,0.0,align_procrustes,0.0033354901433778135,0.999988962594232,5578
6,Recenter,0.0,dummy,1.0,0.0,5578
7,Recenter,0.5,no_alignment,0.19884561898565334,0.9635105900586398,5578
8,Recenter,0.5,align_z_score,0.6083243829395193,0.7290146930582222,5578
9,Recenter,0.5,align_recenter,0.007406032545826772,0.9999438634120035,5578
10,Recenter,0.5,align_recenter_rescale,0.007406032545830113,0.9999438634120035,5578
11,Recenter,0.5,align_procrustes_paired,0.0003318385412659993,0.999999892388363,5578
12,Recenter,0.5,align_procrustes,0.003335490143389379,0.999988962594232,5578
13,Recenter,0.5,dummy,1.0,0.0,5578
14,Recenter,1.0,no_alignment,0.3218699960631531,0.893108425522335,5578
15,Recenter,1.0,align_z_score,1.5321845005449681,-0.5764707582782027,5578
16,Recenter,1.0,align_recenter,0.018179824102683702,0.9996625154856349,5578
17,Recenter,1.0,align_recenter_rescale,0.01817982410269621,0.9996625154856346,5578
18,Recenter,1.0,align_procrustes_paired,0.0003318385412636157,0.999999892388363,5578
19,Recenter,1.0,align_procrustes,0.0033354901433834197,0.999988962594232,5578
20,Recenter,1.0,dummy,1.0,0.0,5578
21,Recenter,1.5,no_alignment,0.44686129640887073,0.7875974435412441,5578
22,Recenter,1.5,align_z_score,2.409223281868963,-2.790791320722641,5578
23,Recenter,1.5,align_recenter,0.03246751530133635,0.998919892208057,5578
24,Recenter,1.5,align_recenter_rescale,0.03246751530135309,0.998919892208056,5578
25,Recenter,1.5,align_procrustes_paired,0.00033183854125816653,0.999999892388363,5578
26,Recenter,1.5,align_procrustes,0.0033354901434032246,0.999988962594232,5578
27,Recenter,1.5,dummy,1.0,0.0,5578
28,Recenter,2.0,no_alignment,0.5863184662803843,0.6395250230809939,5578
29,Recenter,2.0,align_z_score,3.206982266804658,-5.630312695597071,5578
30,Recenter,2.0,align_recenter,0.04942633966527043,0.997500673084913,5578
31,Recenter,2.0,align_recenter_rescale,0.04942633966529429,0.9975006730849105,5578
32,Recenter,2.0,align_procrustes_paired,0.000331838541250319,0.999999892388363,5578
33,Recenter,2.0,align_procrustes,0.0033354901433392662,0.999988962594232,5578
34,Recenter,2.0,dummy,1.0,0.0,5578
0,Recenter,0.0,no_alignment,0.00034465312399249113,0.9999998813621366,8322
1,Recenter,0.0,align_z_score,0.03820925095053428,0.9985208345363374,8322
2,Recenter,0.0,align_recenter,0.0003446531239881224,0.9999998813621366,8322
3,Recenter,0.0,align_recenter_rescale,0.00034465312399513046,0.9999998813621366,8322
4,Recenter,0.0,align_procrustes_paired,0.00034465312399268054,0.9999998813621366,8322
5,Recenter,0.0,align_procrustes,0.003344373259604485,0.9999889625942318,8322
6,Recenter,0.0,dummy,1.0,0.0,8322
7,Recenter,0.5,no_alignment,1.4472147042931305,-0.4289632192534707,8322
8,Recenter,0.5,align_z_score,1.1643125368380192,0.06036709912799376,8322
9,Recenter,0.5,align_recenter,0.010389699421133545,0.9998853013254032,8322
10,Recenter,0.5,align_recenter_rescale,0.010389699421122117,0.9998853013254034,8322
11,Recenter,0.5,align_procrustes_paired,0.00034465312399897336,0.9999998813621366,8322
12,Recenter,0.5,align_procrustes,0.0033443732595904003,0.9999889625942318,8322
13,Recenter,0.5,dummy,1.0,0.0,8322
14,Recenter,1.0,no_alignment,2.3866415621178527,-2.822329912366962,8322
15,Recenter,1.0,align_z_score,2.347960649242986,-2.665965842197105,8322
16,Recenter,1.0,align_recenter,0.026802139985520945,0.9992262561578514,8322
17,Recenter,1.0,align_recenter_rescale,0.026802139985496246,0.9992262561578527,8322
18,Recenter,1.0,align_procrustes_paired,0.00034465312400226364,0.9999998813621366,8322
19,Recenter,1.0,align_procrustes,0.0033443732598001175,0.9999889625942318,8322
20,Recenter,1.0,dummy,1.0,0.0,8322
21,Recenter,1.5,no_alignment,3.0827174780050184,-5.349195568430036,8322
22,Recenter,1.5,align_z_score,3.1223750880927033,-5.448670666391023,8322
23,Recenter,1.5,align_recenter,0.05085686600185645,0.9973193588022339,8322
24,Recenter,1.5,align_recenter_rescale,0.0508568660018244,0.9973193588022368,8322
25,Recenter,1.5,align_procrustes_paired,0.00034465312400723536,0.9999998813621366,8322
26,Recenter,1.5,align_procrustes,0.0033443732596238496,0.9999889625942318,8322
27,Recenter,1.5,dummy,1.0,0.0,8322
28,Recenter,2.0,no_alignment,3.5972210836496306,-7.627059579458361,8322
29,Recenter,2.0,align_z_score,3.631348973209435,-7.717169004954764,8322
30,Recenter,2.0,align_recenter,0.07945576789341555,0.9935610168539989,8322
31,Recenter,2.0,align_recenter_rescale,0.07945576789339306,0.9935610168540022,8322
