,scenario,parameter,method,mae,r2,random_state
20,Recenter,1.0,dummy,1.0,-0.007634113605083259,6265
21,Recenter,1.5,no_alignment,3.0979052659754536,-5.570834209562375,6265
22,Recenter,1.5,align_z_score,3.299938417785813,-7.849977869202057,6265
23,Recenter,1.5,align_recenter,0.16286829029730093,0.9436184356188936,6265
24,Recenter,1.5,align_recenter_rescale,0.03486058677933635,0.9985694283909125,6265
25,Recenter,1.5,align_procrustes,0.16297702365193983,0.9748461853307221,6265
26,Recenter,1.5,align_procrustes_paired,0.0034249536038083775,0.999988338123388,6265
27,Recenter,1.5,dummy,1.0,-0.007634113605083259,6265
28,Recenter,2.0,no_alignment,4.042469559408923,-9.825139377378743,6265
29,Recenter,2.0,align_z_score,4.245220029245895,-13.334108303967842,6265
30,Recenter,2.0,align_recenter,0.22274720473475237,0.9095423768113493,6265
31,Recenter,2.0,align_recenter_rescale,0.055880883706214315,0.996297969983581,6265
32,Recenter,2.0,align_procrustes,0.16297702365165476,0.9748461853307935,6265
33,Recenter,2.0,align_procrustes_paired,0.0034249536037861037,0.9999883381233882,6265
34,Recenter,2.0,dummy,1.0,-0.007634113605083259,6265
0,Recenter,0.0,no_alignment,0.003646211236262675,0.9999864798165761,466
1,Recenter,0.0,align_z_score,0.25294250009273056,0.9269844829451617,466
2,Recenter,0.0,align_recenter,0.003646211236241843,0.9999864798165763,466
3,Recenter,0.0,align_recenter_rescale,0.003646211236257163,0.9999864798165762,466
4,Recenter,0.0,align_procrustes,0.25769133501339214,0.9270273618110884,466
5,Recenter,0.0,align_procrustes_paired,0.0036462112362588227,0.9999864798165762,466
6,Recenter,0.0,dummy,1.0,-2.338968002391084e-05,466
7,Recenter,0.5,no_alignment,0.518863467631293,0.6984921067585406,466
8,Recenter,0.5,align_z_score,1.9385953133022849,-1.6578798600580993,466
9,Recenter,0.5,align_recenter,0.030726022005887137,0.9958926424966361,466
10,Recenter,0.5,align_recenter_rescale,0.007454927255106091,0.9999373164958968,466
11,Recenter,0.5,align_procrustes,0.2576913350142385,0.9270273618109913,466
12,Recenter,0.5,align_procrustes_paired,0.003646211236234339,0.9999864798165763,466
13,Recenter,0.5,dummy,1.0,-2.338968002391084e-05,466
14,Recenter,1.0,no_alignment,0.7193843357963075,0.4476787792475413,466
15,Recenter,1.0,align_z_score,3.238559415782025,-6.443900126818711,466
16,Recenter,1.0,align_recenter,0.07764470397804885,0.9847004903148256,466
17,Recenter,1.0,align_recenter_rescale,0.01844797707709642,0.999590713149049,466
18,Recenter,1.0,align_procrustes,0.2576913350143138,0.9270273618108635,466
19,Recenter,1.0,align_procrustes_paired,0.0036462112362583583,0.9999864798165763,466
20,Recenter,1.0,dummy,1.0,-2.338968002391084e-05,466
21,Recenter,1.5,no_alignment,0.7657959595328533,0.36720188661718045,466
22,Recenter,1.5,align_z_score,3.756030806243695,-9.397485185135018,466
23,Recenter,1.5,align_recenter,0.1279494677350782,0.9676435119577252,466
24,Recenter,1.5,align_recenter_rescale,0.03451178175894083,0.998556276401,466
25,Recenter,1.5,align_procrustes,0.2576913350135315,0.9270273618108887,466
26,Recenter,1.5,align_procrustes_paired,0.0036462112362712056,0.9999864798165762,466
27,Recenter,1.5,dummy,1.0,-2.338968002391084e-05,466
28,Recenter,2.0,no_alignment,0.8352054890459608,0.25304432246686237,466
29,Recenter,2.0,align_z_score,3.465689186158478,-8.572317070572186,466
30,Recenter,2.0,align_recenter,0.17566739654205377,0.946956674723259,466
31,Recenter,2.0,align_recenter_rescale,0.053488078329378144,0.9965548509403932,466
32,Recenter,2.0,align_procrustes,0.25769133501550984,0.927027361810576,466
33,Recenter,2.0,align_procrustes_paired,0.003646211236307958,0.999986479816576,466
34,Recenter,2.0,dummy,1.0,-2.338968002391084e-05,466
0,Recenter,0.0,no_alignment,0.0033642576416193434,0.9999891291174174,4426
1,Recenter,0.0,align_z_score,0.2698164950389244,0.9155001328279131,4426
2,Recenter,0.0,align_recenter,0.003364257641706212,0.9999891291174166,4426
3,Recenter,0.0,align_recenter_rescale,0.003364257641758352,0.9999891291174161,4426
4,Recenter,0.0,align_procrustes,0.20133738528690334,0.9599367229100053,4426
5,Recenter,0.0,align_procrustes_paired,0.003364257641763878,0.9999891291174161,4426
6,Recenter,0.0,dummy,1.0,-0.00031036268830808567,4426
7,Recenter,0.5,no_alignment,0.76021203190665,0.4020163902791605,4426
8,Recenter,0.5,align_z_score,2.6201338899225797,-3.4918846632225398,4426
9,Recenter,0.5,align_recenter,0.032181916253939104,0.9951075189934807,4426
10,Recenter,0.5,align_recenter_rescale,0.006820399584727625,0.9999488731861985,4426
11,Recenter,0.5,align_procrustes,0.20133738528585562,0.9599367229103939,4426
12,Recenter,0.5,align_procrustes_paired,0.0033642576416775117,0.9999891291174166,4426
13,Recenter,0.5,dummy,1.0,-0.00031036268830808567,4426
14,Recenter,1.0,no_alignment,0.9611550233067812,0.07121477044015678,4426
15,Recenter,1.0,align_z_score,4.4992576736054115,-12.256479364440365,4426
16,Recenter,1.0,align_recenter,0.0821440625222634,0.981969388170379,4426
