,method,mae,r2,random_state
3,dummy,20.422535211267604,-0.08334881038653164,65725
4,align_recenter,11.670162243069479,0.4754699199935857,65725
5,dummy,20.422535211267604,-0.08334881038653164,65725
6,align_recenter_rescale,11.48505481889592,0.4886747609559683,65725
7,dummy,20.422535211267604,-0.08334881038653164,65725
8,align_procrustes,17.845409888699326,-0.05920263262164083,65725
9,dummy,20.422535211267604,-0.08334881038653164,65725
0,no_alignment,11.889584837324088,0.4740033097300098,84654
1,dummy,20.422535211267604,-0.06556243606826051,84654
2,align_z_score,16.52279384156277,0.06064956131369781,84654
3,dummy,20.422535211267604,-0.06556243606826051,84654
4,align_recenter,11.959166018298184,0.47613194119392055,84654
5,dummy,20.422535211267604,-0.06556243606826051,84654
6,align_recenter_rescale,11.668555086333148,0.4992044466716259,84654
7,dummy,20.422535211267604,-0.06556243606826051,84654
8,align_procrustes,16.557643472206717,0.07184565627520378,84654
9,dummy,20.422535211267604,-0.06556243606826051,84654
0,no_alignment,14.783494757821549,0.23663067774932434,35773
1,dummy,20.422535211267604,-0.07314427563625148,35773
2,align_z_score,18.901553286257712,-0.2490069596779494,35773
3,dummy,20.422535211267604,-0.07314427563625148,35773
4,align_recenter,13.190806440129025,0.3679970138109897,35773
5,dummy,20.422535211267604,-0.07314427563625148,35773
6,align_recenter_rescale,13.100898655485862,0.3415921653752214,35773
7,dummy,20.422535211267604,-0.07314427563625148,35773
8,align_procrustes,17.268577074156408,-0.029400229028406777,35773
9,dummy,20.422535211267604,-0.07314427563625148,35773
0,no_alignment,14.891379365294847,0.22059010677191881,67435
1,dummy,20.422535211267604,-0.07039426925678538,67435
2,align_z_score,20.0194776632957,-0.3734407596616536,67435
3,dummy,20.422535211267604,-0.07039426925678538,67435
4,align_recenter,12.976578954520727,0.36360884341047195,67435
5,dummy,20.422535211267604,-0.07039426925678538,67435
6,align_recenter_rescale,12.975986708006868,0.3393999882836717,67435
7,dummy,20.422535211267604,-0.07039426925678538,67435
8,align_procrustes,19.434776052099,-0.2345845690633359,67435
9,dummy,20.422535211267604,-0.07039426925678538,67435
0,no_alignment,11.750684869896233,0.4939051595504794,56886
1,dummy,20.079812206572768,-0.057982619607994446,56886
2,align_z_score,15.561022259567403,0.1733138739006317,56886
3,dummy,20.079812206572768,-0.057982619607994446,56886
4,align_recenter,12.376651210711229,0.4724586151336343,56886
5,dummy,20.079812206572768,-0.057982619607994446,56886
6,align_recenter_rescale,12.132554949837083,0.4758799763825251,56886
7,dummy,20.079812206572768,-0.057982619607994446,56886
8,align_procrustes,16.70426064679211,0.07618981662936986,56886
9,dummy,20.079812206572768,-0.057982619607994446,56886
0,no_alignment,14.445741835025029,0.23802265840058545,66803
1,dummy,20.422535211267604,-0.0732021277380277,66803
2,align_z_score,20.339818183348676,-0.4534169722647359,66803
3,dummy,20.422535211267604,-0.0732021277380277,66803
4,align_recenter,13.00929144688032,0.37973461098351113,66803
5,dummy,20.422535211267604,-0.0732021277380277,66803
6,align_recenter_rescale,12.675226470267356,0.3949757880085343,66803
7,dummy,20.422535211267604,-0.0732021277380277,66803
8,align_procrustes,17.83394470803457,-0.0375717293652309,66803
9,dummy,20.422535211267604,-0.0732021277380277,66803
0,no_alignment,12.875914898676964,0.3912071422151364,31551
1,dummy,20.76525821596244,-0.0822002452325008,31551
2,align_z_score,17.95025445923375,-0.06834815352998902,31551
3,dummy,20.76525821596244,-0.0822002452325008,31551
4,align_recenter,12.42584620651993,0.4442447302136048,31551
5,dummy,20.76525821596244,-0.0822002452325008,31551
6,align_recenter_rescale,12.5824936868644,0.42311572392999697,31551
7,dummy,20.76525821596244,-0.0822002452325008,31551
8,align_procrustes,19.859248766455774,-0.30407911050034775,31551
9,dummy,20.76525821596244,-0.0822002452325008,31551
0,no_alignment,15.397215807669866,0.18342931520606454,11394
1,dummy,20.079812206572768,-0.055067643481554907,11394
2,align_z_score,17.722536721712444,-0.07981154685124103,11394
3,dummy,20.079812206572768,-0.055067643481554907,11394
4,align_recenter,11.368517850690052,0.5412359642229496,11394
5,dummy,20.079812206572768,-0.055067643481554907,11394
6,align_recenter_rescale,10.728835417584284,0.5707907537956831,11394
7,dummy,20.079812206572768,-0.055067643481554907,11394
8,align_procrustes,18.10125913152215,-0.07838005314885055,11394
9,dummy,20.079812206572768,-0.055067643481554907,11394
0,no_alignment,12.791745539944067,0.38295305418104786,69092
1,dummy,20.76525821596244,-0.09708563274469317,69092
2,align_z_score,16.48789533815195,0.019393634490536882,69092
3,dummy,20.76525821596244,-0.09708563274469317,69092
4,align_recenter,12.339125203029695,0.42863952082628487,69092
5,dummy,20.76525821596244,-0.09708563274469317,69092
6,align_recenter_rescale,12.058608600718658,0.4346321687306792,69092
7,dummy,20.76525821596244,-0.09708563274469317,69092
8,align_procrustes,17.202729649009555,0.008939078494989983,69092
9,dummy,20.76525821596244,-0.09708563274469317,69092
0,no_alignment,13.18120649170567,0.3562735176792251,3890
1,dummy,20.422535211267604,-0.06517966999552938,3890
2,align_z_score,19.544659817128313,-0.33223049948670225,3890
3,dummy,20.422535211267604,-0.06517966999552938,3890
4,align_recenter,12.673054961769333,0.39099910338566324,3890
5,dummy,20.422535211267604,-0.06517966999552938,3890
6,align_recenter_rescale,12.432772014674491,0.4024714234718463,3890
7,dummy,20.422535211267604,-0.06517966999552938,3890
8,align_procrustes,17.993350323155877,-0.05976845015727106,3890
9,dummy,20.422535211267604,-0.06517966999552938,3890
0,no_alignment,15.239098933221822,0.19398299749489967,41606
1,dummy,20.422535211267604,-0.0677155038235604,41606
2,align_z_score,19.184286321727043,-0.3378694161498714,41606
3,dummy,20.422535211267604,-0.0677155038235604,41606
4,align_recenter,12.91296618387343,0.38213391291872567,41606
5,dummy,20.422535211267604,-0.0677155038235604,41606
6,align_recenter_rescale,12.83045016513593,0.35728330798190777,41606
7,dummy,20.422535211267604,-0.0677155038235604,41606
8,align_procrustes,17.830394464382774,-0.1130743013918214,41606
9,dummy,20.422535211267604,-0.0677155038235604,41606
0,no_alignment,16.193098871284178,0.10097897067635841,96276
1,dummy,20.422535211267604,-0.07327929944847233,96276
2,align_z_score,23.492276126728402,-0.8767164888792731,96276
3,dummy,20.422535211267604,-0.07327929944847233,96276
4,align_recenter,12.718250979347047,0.42328806393826734,96276
5,dummy,20.422535211267604,-0.07327929944847233,96276
6,align_recenter_rescale,12.327941365329329,0.43391856637787185,96276
7,dummy,20.422535211267604,-0.07327929944847233,96276
8,align_procrustes,18.58434971202088,-0.10555914853002246,96276
9,dummy,20.422535211267604,-0.07327929944847233,96276
0,no_alignment,16.160502761552774,0.11664097770771686,80038
1,dummy,20.079812206572768,-0.050243154562746195,80038
2,align_z_score,20.86701004848353,-0.39474217965024083,80038
3,dummy,20.079812206572768,-0.050243154562746195,80038
4,align_recenter,12.136451514269115,0.48303273491894705,80038
5,dummy,20.079812206572768,-0.050243154562746195,80038
6,align_recenter_rescale,11.899109862475047,0.4806909187382755,80038
7,dummy,20.079812206572768,-0.050243154562746195,80038
8,align_procrustes,18.149118563087587,-0.04758688854986515,80038
9,dummy,20.079812206572768,-0.050243154562746195,80038
0,no_alignment,13.111375369298225,0.3896925825009172,87313
1,dummy,20.422535211267604,-0.062175657820764174,87313
2,align_z_score,17.156762341745132,-0.027457077569406296,87313
3,dummy,20.422535211267604,-0.062175657820764174,87313
4,align_recenter,12.2692086831807,0.4233725656408891,87313
5,dummy,20.422535211267604,-0.062175657820764174,87313
6,align_recenter_rescale,11.84069481834393,0.452331836154531,87313
7,dummy,20.422535211267604,-0.062175657820764174,87313
8,align_procrustes,18.300748077492358,-0.13576559434660473,87313
9,dummy,20.422535211267604,-0.062175657820764174,87313
0,no_alignment,16.66593093737888,0.08328411789376866,10627
1,dummy,20.079812206572768,-0.06349803322437886,10627
2,align_z_score,20.441453085919406,-0.4176558465486664,10627
3,dummy,20.079812206572768,-0.06349803322437886,10627
4,align_recenter,13.03248167508724,0.4084144843898725,10627
5,dummy,20.079812206572768,-0.06349803322437886,10627
6,align_recenter_rescale,13.265581432410317,0.3681809624858837,10627
7,dummy,20.079812206572768,-0.06349803322437886,10627
8,align_procrustes,19.545106445163935,-0.309873667502754,10627
9,dummy,20.079812206572768,-0.06349803322437886,10627
0,no_alignment,11.865995134259105,0.4701787342713122,8792
1,dummy,20.76525821596244,-0.08929635856750706,8792
2,align_z_score,16.980534401773436,0.03801794341737286,8792
3,dummy,20.76525821596244,-0.08929635856750706,8792
4,align_recenter,12.675406299740054,0.4074125145795585,8792
5,dummy,20.76525821596244,-0.08929635856750706,8792
6,align_recenter_rescale,12.046596861811913,0.43865232385919006,8792
7,dummy,20.76525821596244,-0.08929635856750706,8792
8,align_procrustes,16.94662849751707,0.09867576560875013,8792
9,dummy,20.76525821596244,-0.08929635856750706,8792
0,no_alignment,14.413095132463416,0.29245623152323985,73969
1,dummy,20.422535211267604,-0.06598294182553888,73969
2,align_z_score,16.684556430317148,0.0028900389110541047,73969
3,dummy,20.422535211267604,-0.06598294182553888,73969
4,align_recenter,13.09624482844342,0.3886451656669596,73969
